id,title,description,project_url,doi,language,upload_date,download_date,repository_folder,project_folder,download_method,query_string,repository_name,repository_url
1,Data from: Inner conflict in patients receiving oral anti-cancer agents: a qualitative study,"Objectives: To explore the experiences of patients receiving oral anticancer agents. Design: A qualitative study using semistructured interviews with a grounded theory approach. Setting: A university hospital in Japan. Participants :14 patients with gastric cancer who managed their cancer with oral anticancer agents. Results: Patients with cancer experienced inner conflict between rational belief and emotional resistance to taking medication due to confrontation with cancer, doubt regarding efficacy and concerns over potential harm attached to use of the agent. Although they perceived themselves as being adherent to medication, they reported partial non-adherent behaviours. The patients reassessed their lives through the experience of inner conflict and, ultimately, they recognised their role in medication therapy. Conclusions: Patients with cancer experienced inner conflict, in which considerable emotional resistance to taking their medication affected their occasional non-adherent behaviours. In patient-centred care, it is imperative that healthcare providers understand patients’ inner conflict and inconsistency between their subjective view and behaviour to support patient adherence.",https://datadryad.org/dataset/doi:10.5061/dryad.jc3s8,https://doi.org/doi:10.5061/dryad.jc3s8,en,2015-01-26,2026-03-23T19:45:49.657371+00:00,dryad,16857,API-CALL,qualitative research,dryad,https://datadryad.org
2,Data from: Identifying acne treatment uncertainties via a James Lind Alliance Priority Setting Partnership,"Objectives: The Acne Priority Setting Partnership (PSP) was set up to identify and rank treatment uncertainties by bringing together people with acne and professionals providing care within and beyond the NHS.  Setting: The UK with international participation.  Participants:  Teenagers and adults with acne, parents, partners, nurses, clinicians, pharmacists, private practitioners.  Methods: Treatment uncertainties were collected via separate online harvesting surveys, embedded within the PSP website, for patients and professionals.  A wide variety of approaches were used to promote the surveys to stakeholder groups with a particular emphasis on teenagers and young adults.  Survey submissions were collated using keywords and verified as uncertainties by appraising existing evidence. The 30 most popular themes were ranked via weighted scores from an online vote.  At a priority setting workshop, patients and professionals discussed the 18 highest-scoring questions from the vote and reached consensus on the top ten.  Results: In the harvesting survey, 2,310 people including 652 professionals and 1,456 patients (58% aged 24 y or younger) made submissions containing at least one research question.  After checking for relevance and rephrasing, a total of 6,255 questions were collated into themes.  Valid votes ranking the 30 most common themes were obtained from 2,807 participants.  The top ten uncertainties prioritised at the workshop were largely focused on management strategies, optimum use of common prescription medications and the role of non-drug based interventions.  More female than male patients took part in the harvesting surveys and vote.  A wider range of uncertainties were provided by patients compared to professionals.  Conclusions: Engaging teenagers and young adults in priority setting is achievable using a variety of promotional methods.  The top ten uncertainties reveal an extensive knowledge gap about widely used interventions and the relative merits of d",https://datadryad.org/dataset/doi:10.5061/dryad.gf1k0,https://doi.org/doi:10.5061/dryad.gf1k0,en,2015-07-01,2026-03-23T19:45:51.664656+00:00,dryad,3809,API-CALL,qualitative research,dryad,https://datadryad.org
3,Data from: How do doctors and nurses manage delirium in intensive care units? A qualitative study using focus groups.,"Objectives: The aim of this study was to explore the experiences of doctors and nurses caring for patients with delirium in the intensive care unit (ICU) and to describe the process of delirium management. Setting: This study was performed in 5 ICUs located within 4 hospitals in Madrid (Spain). Participants: Purposeful sampling was performed which included (1) doctors and nurses working in ICUs, (2) with >1 year experience in the ICU and (3) clinical experience with delirium. 38 professionals participated (19 doctors, 19 nurses), including 22 women and 16 men. The total mean age was 39 years. Design: A qualitative study using focus groups. Methods: 7 focus groups were held to collect data: 3 nurse focus groups, 3 doctor focus groups and 1 mixed focus group. Each group comprised 6–10 participants. A semistructured questions guide was used. Thematic analysis methods were used to analyse the data. Results: 3 themes were identified: (1) the professional perspective on delirium; (2) implementing pharmacological and non-pharmacological treatment for delirium and (3) work organisation in the ICU. The professionals regarded patients with delirium with uncertainty, and felt they were often underdiagnosed and poorly managed. Doctors displayed discrepancies regarding pharmacological prescriptions and decision-making. The choice of medication was determined by experience. Nurses felt that, for many doctors, delirium was not considered a matter of urgency in the ICU. Nurses encountered difficulties when applying verbal restraint, managing sleep disorders and providing early mobilisation. The lack of a delirium protocol generates conflicts regarding what type of care management to apply, especially during the night shift. A degree of group pressure exists which, in turn, influences the decision-making process and patient care. Conclusions: Patients with delirium represent complex cases, requiring the implementation of specific protocols. These results serve to improve the process",https://datadryad.org/dataset/doi:10.5061/dryad.5rq76,https://doi.org/doi:10.5061/dryad.5rq76,en,2015-10-20,2026-03-23T19:45:53.958873+00:00,dryad,17527,API-CALL,qualitative research,dryad,https://datadryad.org
4,Barriers to home exercise for patients with Parkinson’s disease – a qualitative study,"<p><strong>Objective</strong>: This study aimed to explore the barriers to home exercise for patients with Parkinson’s disease (PwPDs) and provide guidelines for healthcare providers (HcPs) to  build and implement home exercise strategies for PwPDs.</p>
<p><strong>Design</strong>: A qualitative descriptive method was used. Semi-structured interviews were conducted and thematic analysis was employed.</p>
<p><strong>Setting</strong>: The study was conducted in the Department of Neurology at a Grade 3 Class A general hospital in China.</p>
<p><strong>Participants</strong>: A total of 22 participants were interviewed, including 10 PwPDs, seven caregivers, two nurses, one head nurse, and two Parkinson's clinicians.</p>
<p><strong>Results</strong>: Five themes were identified in this analysis. (1) Psychosomatic stress and low activity; (2) lack of early rehabilitation authorisation; (3) poor ""flow"" state of home exercise; (4) inaccessibility of continued service; (5) sociocultural impact on family coping.</p>
<p><strong>Conclusion</strong>: PwPDs, caregivers, and specialised medical staff raised the challenges faced by patients' home exercises from different perspectives. Interventions can improve services and integrate resources through the management of multi-disciplinary, early rehabilitation authorisation, exercise experience, continuous service mode, and family coping strategies under different cultures to gradually adjust the home exercise behaviour of PwPDs.</p>",https://datadryad.org/dataset/doi:10.5061/dryad.g79cnp5tx,https://doi.org/doi:10.5061/dryad.g79cnp5tx,en,2023-01-24,2026-03-23T19:45:55.949922+00:00,dryad,103105,API-CALL,qualitative research,dryad,https://datadryad.org
5,Data from: The personal and social experiences of community-dwelling younger adults after stroke in Australia: a qualitative interview study,"Objectives: To examine the personal and social experiences of younger adults after stroke.
Design: Qualitative study design involving in-depth semi-structured interviews and rigorous qualitative descriptive analysis informed by social constructionism.
Participants: Nineteen young stroke survivors aged 18 to 55 at the time of their first-ever stroke.
Setting: Participants were recruited from urban and rural settings across Australia. Interviews took place in a clinic room of the Florey Institute of Neuroscience and Mental Health (Melbourne, Australia), over an online conference platform or by telephone.
Results: Four main themes emerged from the discourses: (1) psycho-emotional experiences after young stroke; (2) losing pre-stroke life construct and relationships; (3) recovering and adapting after young stroke; and (4) invalidated by the old-age, physical concept of stroke. While these themes ran through the narratives of all participants, data analysis also drew out interesting variation between individual experiences.
Conclusions: For many younger adults, stroke is an unexpected and devastating life event that profoundly diverts their biography and presents complex and continued challenges to fulfilling age-normative roles. While adaptation, resilience and post-traumatic growth are common, this study suggests that more bespoke support is needed for younger adults after stroke. Increasing public awareness of young stroke is also important, as is increased research attention to this problem.",https://datadryad.org/dataset/doi:10.5061/dryad.3181p74,https://doi.org/doi:10.5061/dryad.3181p74,en,2018-10-19,2026-03-23T19:45:58.222747+00:00,dryad,6059,API-CALL,qualitative research,dryad,https://datadryad.org
6,Data from: Primary care management of headaches and how direct-access MRI fits: a qualitative study of UK general practitioners’ views,"Objectives To develop a better understanding of General Practitioners’ (GPs) views and experiences of the management of patients with headaches and use of direct access magnetic resonance imaging (MRI) scans, and observe outcomes of an educational session offered by a GP with a Special Interest (GPwSI) to GPs.
Design A qualitative study using semi-structured interviews, analysed using thematic analysis. A GPwSI in headaches visited practices delivering a talk on headache medication, diagnosis, and management.
Setting Sixteen (16) primary care family practices in South London, United Kingdom.
Participants Twenty (20) General Practitioners.
Results Not all GPs were aware of the availability of direct access MRI, but all acknowledged having used referral or direct-scans to manage patients’ concern about their headaches. A normal scan result helped resolve uncertainty for patient and GP, and helped management towards discussion of preventative treatment. However, patients with psychological and/or severe headache symptoms could not necessarily be reassured. GPs reported difficulty interpreting radiology reports, particularly incidental abnormalities. Those who received the educational talk gained knowledge in diagnosis and medication, improving their confidence in management.
Conclusions Increased access to imaging, training in headache management, addressing physical and psychological symptoms, and standardized reporting of scans, may improve GP use of direct access MRI in future.",https://datadryad.org/dataset/doi:10.5061/dryad.p6n8f,https://doi.org/doi:10.5061/dryad.p6n8f,en,2017-10-16,2026-03-23T19:46:00.475979+00:00,dryad,3947,API-CALL,qualitative research,dryad,https://datadryad.org
7,"Data from: Development of a simple, practice-based tool to assess quality of paediatric emergency care delivery in resource-limited settings: identifying critical actions via a Delphi study","Objective: Provision of timely, high-quality care for the initial management of critically ill children in African hospitals remains a challenge. Monitoring the completion of critical actions during resuscitations can inform efforts to reduce variability and improve outcomes. We sought to develop a practice-based tool based on contextually relevant actions identified via a Delphi process.  Our goal was to develop a tool that could identify gaps in care, facilitate identification of training and standardized assessment to support quality improvement efforts. Design: Six sentinel conditions were selected based on disease epidemiology and mortality at rural and urban African emergency departments. Potential critical actions were identified through focused literature review. These actions were evaluated within a three-round modified Delphi process. A set of logistical filters was applied to the candidate list to derive a practice-based tool. Setting and participants: Attendees at an international emergency medicine conference comprised an expert panel of 25 participants, with 84% working primarily in African settings. Consensus rounds allowing novel responses were conducted via online and in-person surveys. Results: The expert panel generated 199 actions that apply to six conditions in emergently ill children. Application of appropriateness criteria refined this to 92 candidate actions across seven categories: core skills, active seizure, altered mental status, diarrheal illness, febrile illness, respiratory distress, polytrauma. From these, we identified 28 actions for inclusion in a practice-based tool contextually relevant to the initial management of critically ill children in Africa. Conclusions: A group consensus process identified critical actions for severely ill children with select sentinel conditions in emergency paediatric care in an African setting. Absence of these actions during resuscitation might reflect modifiable gaps in quality of care. The resulting",https://datadryad.org/dataset/doi:10.5061/dryad.4m485m0,https://doi.org/doi:10.5061/dryad.4m485m0,en,2018-06-28,2026-03-23T19:46:02.432712+00:00,dryad,4041,API-CALL,qualitative research,dryad,https://datadryad.org
8,Data from: Understanding families' experiences following a diagnosis of non-syndromic Craniosynostosis: A qualitative study,"<p>Objectives: Craniosynostosis, a congenital anomaly producing an abnormal cranial morphology, is typically diagnosed and surgically corrected within the first year of life. Given the young age of this patient population at the time of diagnosis, it is reasonable to expect this experience to be a very significant and stressful ordeal for patient families. Despite this, there is little research exploring the impact that craniosynostosis has on families, especially in the early stages. In this study, the authors aimed to qualitatively examine the psychosocial experience of families with a child diagnosed with craniosynostosis.</p>

<p>Design: Qualitative study. Setting: Tertiary care paediatric health centre.</p>

<p>Participants: Parents of children newly diagnosed with single-suture, non-syndromic craniosynostosis Intervention: Semistructured interviews regarding parental experience with the initial diagnosis, their decision on corrective surgery for their child, the operative experience, the impact of craniosynostosis on the family and the challenges they encountered throughout their journey.</p>

<p>Primary and Secondary Outcome Measures: Interpretive phenomenological analysis, a type of qualitative analysis that provides an in-depth account of participant’s experiences and their meanings, was used to analyze the interview data.</p>

<p>Results: Over a four-year period, twelve families meeting eligibility criteria completed the study. Three main themes (6 subthemes) emerged from the pre-operative interviews: frustration with diagnostic delays (parental intuition and advocacy, hope for improved awareness), understanding what to expect (healthcare supports, interest in connecting with other families), and justifying the need for corrective surgery (influence of the surgeon, struggle with cosmetic indications). Two main themes (4 subthemes) were drawn from the post-operative interviews: pushing through fear (the role of healthcare professionals, transition h",https://datadryad.org/dataset/doi:10.5061/dryad.fr9305r,https://doi.org/doi:10.5061/dryad.fr9305r,en,2020-08-18,2026-03-23T19:46:05.642231+00:00,dryad,30810,API-CALL,qualitative research,dryad,https://datadryad.org
9,"Data from: Characterizing the interaction between physicians, pharmacists and pharmaceutical representatives in a middle-income country: a qualitative study","Background: Studies around the world have shown that interactions between pharmaceutical companies, pharmacists and physicians have a great influence on prescribing and drug dispensing practices. In middle-income countries, the nature and extent of these interactions have not been well researched. Our objectives were to qualitatively explore the nature of the interactions between pharmaceutical companies, physicians and pharmacists, their impact on drug prescription and dispensing practices in Lebanon.
Methods and Findings: We used grounded theory approach as well as the known sponsor, purposive, and snowballing sampling strategies to identify interviewees from the three respective groups: physicians, pharmacists, and pharmaceutical representatives. We conducted semi-structured 
 and analyzed transcripts thematically. 6 pharmaceutical representatives, 13 physicians and 13 pharmacists participated in the study. The following themes emerged: purpose and driver for the interactions, nature of the interactions, incentives, impact on prescription practices, ethical considerations, and suggestions for managing the interactions. The main purposes for the interaction were educational, promotional, and monitoring prescription practices and dispensing, while the main drivers for these interactions were market potential and neighborhood socio-economic status. Physicians, pharmacists and pharmaceutical representatives who engage in these interactions benefit from a variety of incentives, some of which were characterized as unethical. It appears that pharmaceutical companies give prominence to selected physicians within their communities. Although members of the three interviewed groups refer to some of the interactions as being problematic, they described a culture of acceptance of gift giving. We developed a framework that depicts the prevailing politico-cultural environment, the interactions between the three professional groups, and their impact on drug prescription. Under",https://datadryad.org/dataset/doi:10.5061/dryad.br42r,https://doi.org/doi:10.5061/dryad.br42r,en,2018-09-05,2026-03-23T19:46:07.611492+00:00,dryad,19740,API-CALL,qualitative research,dryad,https://datadryad.org
10,Data from: From strategy to action:  A qualitative study on salient factors influencing knowledge transfer in project-based experiential learning in healthcare organizations in Kenya,"Objectives Knowledge transfer is recognized as a key determinant of organizational competitiveness. Existing literature on the transfer of knowledge and skills imply diminutive return on investment in training and development due to the low application of learned knowledge to the work environment. Following devolution of health services provision to new counties in Kenya in 2013, Strathmore Business School designed an experiential facility improvement project-based leadership training programme for healthcare managers in the new counties. Selected healthcare management teams participated in the leadership training to improve health systems performance in the devolved counties in Kenya.Despite similar training, the projects implementation contexts were different, leading to different implementation completion rates. The aim of this study was to investigate the reasons for this disparity and then recommend solutions. Design A qualitative study using semi-structured interviews. A thematic framework approach was used in data analysis. Setting and participants Thirty-nine projects team constituting; 33 successful and 6 unsuccessful project teams, were purposively selected based on their project implementation success rates at the end of the leadership training. The managers had undertaken a team-based institutional improvement project.  The prioritized projects were housed within; 23 public, 10 faith-based and 6 private health facilities in 19 counties in Kenya. Results Our findings indicate projects completion rates were influenced by (training design, work environment climate, trainee characteristics, team-based coaching and, leveraging on occurring opportunities). Transfer barriers were (inadequate management support, inadequate support, high staff-turn over, misalignment of board’s verses manager’s priorities, lack of technical expertise, endemic strikes, negative politics and, poor communication). Recommendations (needs-driven curriculum, effective allocation and ef",https://datadryad.org/dataset/doi:10.5061/dryad.679m4q2,https://doi.org/doi:10.5061/dryad.679m4q2,en,2019-09-05,2026-03-23T19:46:09.554833+00:00,dryad,28705,API-CALL,qualitative research,dryad,https://datadryad.org
